iter	RMSE
0	14.61984341
1	14.26453264
2	13.94182597
3	13.59512006
4	13.27461944
5	13.00325719
6	12.70457115
7	12.44449968
8	12.18855771
9	11.90587631
10	11.6262434
11	11.40998803
12	11.16776832
13	10.94253634
14	10.71354747
15	10.47716928
16	10.26356045
17	10.06643925
18	9.864840438
19	9.683731722
20	9.532151617
21	9.363290803
22	9.205809068
23	9.041459267
24	8.88133112
25	8.747119683
26	8.605703866
27	8.499336654
28	8.36245044
29	8.239879788
30	8.115349172
31	8.001550699
32	7.888292136
33	7.793276229
34	7.685698341
35	7.582350237
36	7.480669748
37	7.398765022
38	7.31453519
39	7.232415261
40	7.157884359
41	7.095802149
42	7.018760013
43	6.942400702
44	6.876298651
45	6.813423046
46	6.751216225
47	6.690045048
48	6.625782965
49	6.574706693
50	6.526055739
51	6.477192022
52	6.429037593
53	6.37622207
54	6.326919493
55	6.279276347
56	6.233956988
57	6.192278905
58	6.156003497
59	6.119618668
60	6.085180098
61	6.04825667
62	6.015701364
63	5.983017466
64	5.952258014
65	5.920104283
66	5.890898682
67	5.860352928
68	5.837749196
69	5.810766099
70	5.783353746
71	5.762315236
72	5.74443798
73	5.721104643
74	5.699236588
75	5.678375367
76	5.661417129
77	5.640735276
78	5.623008181
79	5.604955119
80	5.588615672
81	5.570406363
82	5.56264953
83	5.550890347
84	5.533452113
85	5.515794022
86	5.499876378
87	5.486663721
88	5.47222473
89	5.457396015
90	5.446080641
91	5.435341269
92	5.42340218
93	5.414065796
94	5.405924794
95	5.38988394
96	5.379688211
97	5.369546245
98	5.361275064
99	5.350131504
100	5.342267819
101	5.332565944
102	5.321761243
103	5.31175606
104	5.302661471
105	5.292817645
106	5.285481269
107	5.2746103
108	5.266744808
109	5.25813932
110	5.251787804
111	5.246045814
112	5.240794967
113	5.232474801
114	5.226199885
115	5.217183748
116	5.213477702
117	5.206246902
118	5.20125712
119	5.19624085
120	5.191264332
121	5.189047939
122	5.180309822
123	5.174580521
124	5.170092194
125	5.164295537
126	5.154745021
127	5.151330592
128	5.143457595
129	5.135890517
130	5.12821535
131	5.122476081
132	5.116625042
133	5.109950499
134	5.106407172
135	5.099887437
136	5.096488602
137	5.093319882
138	5.0880159
139	5.084269894
140	5.081591513
141	5.077596671
142	5.076838149
143	5.068597301
144	5.058455635
145	5.055318395
146	5.049165964
147	5.046875271
148	5.040886565
149	5.036653152
150	5.030312055
151	5.026422148
152	5.020742051
153	5.016479951
154	5.011110629
155	5.005858658
156	4.997253962
157	4.994297907
158	4.989210112
159	4.983780893
160	4.979019566
161	4.97510398
162	4.972067702
163	4.969319224
164	4.963856635
165	4.959204208
166	4.956231943
167	4.950262594
168	4.944675086
169	4.940535137
170	4.936515399
