iter	Passed	Remaining
0	61	61290
1	61	30871
2	62	20745
3	62	15686
4	63	12645
5	64	10630
6	64	9176
7	65	8084
8	65	7227
9	66	6564
10	66	6009
11	67	5555
12	68	5165
13	68	4822
14	69	4545
15	70	4342
16	71	4123
17	71	3923
18	72	3746
19	73	3591
20	73	3441
21	74	3310
22	74	3181
23	75	3071
24	76	2970
25	76	2876
26	77	2786
27	78	2710
28	78	2631
29	79	2558
30	79	2486
31	79	2418
32	80	2358
33	81	2304
34	81	2251
35	82	2202
36	82	2156
37	83	2109
38	84	2070
39	84	2033
40	85	1995
41	85	1958
42	86	1920
43	86	1886
44	87	1855
45	87	1823
46	88	1795
47	89	1768
48	89	1743
49	90	1717
50	90	1692
51	91	1666
52	91	1641
53	92	1617
54	92	1597
55	93	1579
56	94	1558
57	94	1538
58	95	1517
59	95	1501
60	96	1481
61	96	1464
62	97	1450
63	98	1434
64	98	1418
65	99	1405
66	99	1389
67	100	1376
68	101	1364
69	101	1349
70	102	1337
71	102	1324
72	103	1313
73	103	1301
74	104	1288
75	104	1275
76	105	1264
77	106	1253
78	106	1242
79	107	1232
80	107	1222
81	108	1214
82	108	1201
83	109	1192
84	109	1182
85	110	1175
86	111	1167
87	111	1159
88	112	1151
89	113	1144
90	113	1135
91	114	1126
92	114	1120
93	115	1113
94	115	1104
95	116	1096
96	117	1089
97	117	1083
98	118	1077
99	118	1070
100	119	1064
101	120	1057
102	120	1051
103	121	1044
104	121	1037
105	122	1034
106	123	1029
107	123	1022
108	124	1017
109	124	1010
110	125	1005
111	126	1000
112	126	994
113	127	988
114	127	982
115	128	977
116	128	970
117	129	966
118	129	960
119	130	955
120	130	950
121	131	944
122	131	938
123	132	934
124	133	931
125	133	927
126	134	923
127	135	920
128	135	915
129	136	911
130	136	907
131	137	904
132	138	900
133	138	895
134	139	892
135	139	888
136	140	884
137	140	880
138	141	876
139	141	872
140	142	868
141	143	864
142	143	860
143	144	857
144	144	853
145	145	850
146	145	846
147	146	843
148	147	840
149	147	837
150	148	833
151	148	829
152	149	826
153	149	823
154	150	821
155	151	818
156	151	816
157	152	812
158	152	809
159	153	805
160	153	802
161	154	798
162	154	795
163	155	792
164	155	789
165	156	785
166	157	783
167	157	779
168	158	777
169	158	774
170	159	772
171	160	773
172	161	770
173	161	768
174	162	765
175	163	763
176	163	761
177	163	757
178	164	754
179	164	751
180	165	748
181	165	745
182	166	743
183	167	740
184	167	738
185	168	735
186	168	733
187	169	731
188	169	729
189	170	727
190	171	724
191	171	721
192	171	718
193	172	715
194	172	712
195	173	710
196	173	708
197	174	705
198	174	703
199	175	701
200	175	699
201	176	697
202	177	697
203	178	695
204	178	692
205	179	690
206	179	688
207	180	685
208	180	684
209	181	681
210	181	679
211	182	677
212	182	675
213	183	673
214	184	672
215	184	670
216	185	668
217	185	666
218	186	664
219	186	662
220	187	660
221	187	658
222	188	656
223	189	654
224	189	652
225	189	650
226	190	648
227	190	646
228	191	644
229	192	642
230	192	640
231	192	638
232	193	637
233	194	635
234	194	633
235	195	631
236	195	630
237	196	628
238	196	626
239	197	624
240	197	622
241	198	620
242	198	619
243	199	617
244	199	615
245	200	613
246	200	611
247	201	610
248	201	608
249	202	606
250	202	604
251	202	602
252	203	600
253	203	598
254	204	597
255	204	595
256	205	593
257	206	592
258	206	591
259	207	589
260	207	587
261	208	586
262	208	584
263	209	583
264	209	582
265	210	580
266	210	578
267	211	577
268	211	575
269	212	573
270	212	572
271	213	571
272	213	569
273	214	568
274	214	566
275	215	565
276	216	564
277	216	563
278	217	561
279	217	559
280	218	558
281	218	557
282	219	555
283	219	553
284	219	551
285	220	550
286	220	548
287	221	547
288	221	545
289	222	544
290	222	543
291	223	541
292	223	540
293	224	538
294	224	537
295	225	536
296	226	535
297	226	533
298	227	532
299	227	531
300	228	529
301	228	528
302	229	527
303	229	525
304	230	524
305	230	523
306	231	521
307	231	520
308	232	519
309	232	517
310	233	516
311	233	515
312	234	514
313	234	512
314	235	511
315	235	510
316	236	508
317	236	507
318	237	506
319	237	505
320	238	504
321	238	502
322	239	501
323	239	500
324	240	498
325	240	497
326	241	496
327	241	495
328	242	494
329	243	493
330	243	492
331	244	491
332	244	489
333	245	488
334	245	487
335	246	486
336	246	485
337	247	484
338	247	483
339	248	482
340	248	481
341	249	480
342	250	479
343	250	477
344	251	476
345	251	475
346	252	474
347	252	473
348	252	471
349	253	470
350	253	469
351	254	468
352	254	467
353	255	466
354	255	464
355	256	463
356	256	462
357	257	461
358	257	460
359	258	459
360	259	458
361	259	457
362	260	456
363	260	455
364	261	454
365	261	453
366	262	451
367	262	451
368	263	449
369	263	448
370	264	447
371	264	446
372	265	445
373	265	444
374	266	443
375	266	442
376	267	441
377	267	440
378	268	439
379	268	438
380	269	437
381	269	436
382	270	435
383	270	434
384	271	433
385	272	432
386	272	431
387	273	430
388	273	429
389	274	428
390	274	427
391	275	426
392	275	425
393	276	424
394	276	423
395	277	422
396	277	421
397	278	420
398	278	419
399	278	418
400	279	417
401	279	416
402	280	415
403	280	414
404	281	413
405	282	413
406	283	412
407	283	411
408	284	410
409	284	409
410	285	408
411	285	408
412	286	407
413	286	406
414	287	405
415	287	404
416	288	403
417	288	402
418	289	401
419	290	400
420	290	399
421	291	398
422	291	397
423	292	396
424	292	395
425	293	394
426	293	393
427	293	392
428	294	391
429	294	391
430	295	390
431	296	389
432	296	388
433	296	387
434	297	386
435	297	385
436	298	384
437	298	383
438	299	382
439	299	381
440	300	380
441	300	379
442	301	378
443	301	377
444	302	377
445	302	376
446	303	375
447	303	374
448	304	373
449	304	372
450	305	371
451	305	370
452	306	369
453	306	368
454	307	368
455	307	367
456	308	366
457	309	365
458	309	365
459	310	364
460	310	363
461	311	362
462	311	361
463	312	361
464	312	360
465	313	359
466	313	358
467	314	357
468	314	356
469	315	355
470	316	355
471	316	354
472	317	353
473	317	352
474	318	351
475	318	350
476	319	350
477	319	349
478	320	348
479	320	347
480	321	346
481	321	345
482	322	344
483	322	344
484	323	343
485	323	342
486	324	341
487	324	340
488	325	339
489	325	339
490	326	338
491	326	337
492	327	336
493	327	335
494	328	334
495	328	334
496	329	333
497	329	332
498	330	331
499	330	330
500	331	330
501	331	329
502	332	328
503	332	327
504	333	326
505	333	326
506	334	325
507	335	324
508	335	323
509	336	323
510	336	322
511	337	321
512	337	320
513	338	319
514	338	319
515	339	318
516	339	317
517	340	316
518	340	316
519	341	315
520	342	314
521	342	313
522	342	312
523	343	311
524	343	311
525	344	310
526	344	309
527	345	308
528	345	307
529	346	307
530	346	306
531	347	305
532	347	304
533	348	304
534	348	303
535	349	302
536	349	301
537	350	300
538	350	300
539	351	299
540	352	298
541	352	298
542	353	297
543	353	296
544	354	295
545	354	294
546	355	294
547	355	293
548	355	292
549	356	291
550	357	290
551	357	290
552	357	289
553	358	288
554	358	287
555	359	287
556	359	286
557	360	285
558	361	284
559	361	284
560	362	283
561	362	282
562	362	281
563	363	280
564	363	280
565	364	279
566	365	278
567	365	278
568	366	277
569	366	276
570	367	275
571	367	275
572	368	274
573	368	273
574	369	272
575	369	271
576	370	271
577	370	270
578	371	269
579	371	269
580	371	268
581	372	267
582	372	266
583	373	266
584	374	265
585	374	264
586	375	264
587	376	263
588	376	262
589	376	261
590	377	261
591	378	260
592	378	259
593	379	259
594	379	258
595	380	257
596	380	256
597	381	256
598	381	255
599	382	255
600	383	254
601	384	253
602	384	253
603	385	252
604	385	251
605	386	251
606	386	250
607	387	249
608	387	248
609	388	248
610	388	247
611	389	246
612	389	245
613	389	245
614	390	244
615	390	243
616	391	243
617	392	242
618	392	241
619	393	240
620	393	240
621	394	239
622	394	238
623	395	238
624	395	237
625	396	236
626	396	236
627	397	235
628	397	234
629	398	233
630	398	233
631	399	232
632	400	232
633	401	231
634	401	230
635	402	230
636	402	229
637	403	228
638	403	228
639	404	227
640	404	226
641	405	226
642	405	225
643	406	224
644	407	224
645	407	223
646	408	222
647	408	221
648	409	221
649	409	220
650	410	219
651	410	219
652	411	218
653	411	217
654	412	217
655	412	216
656	413	215
657	413	214
658	414	214
659	414	213
660	415	212
661	415	212
662	416	211
663	416	210
664	417	210
665	417	209
666	418	208
667	418	208
668	419	207
669	419	206
670	420	206
671	420	205
672	421	204
673	421	204
674	422	203
675	423	202
676	423	202
677	423	201
678	424	200
679	425	200
680	426	199
681	426	198
682	427	198
683	427	197
684	428	196
685	428	196
686	429	195
687	430	195
688	430	194
689	431	193
690	431	193
691	432	192
692	433	191
693	433	191
694	434	190
695	435	190
696	435	189
697	436	188
698	436	188
699	437	187
700	437	186
701	438	186
702	438	185
703	439	184
704	439	184
705	440	183
706	440	182
707	441	182
708	441	181
709	442	180
710	442	179
711	443	179
712	443	178
713	444	178
714	445	177
715	445	176
716	446	176
717	446	175
718	447	174
719	447	174
720	448	173
721	449	172
722	449	172
723	450	171
724	450	170
725	451	170
726	451	169
727	452	169
728	452	168
729	453	167
730	453	167
731	454	166
732	455	165
733	455	165
734	456	164
735	456	163
736	457	163
737	458	162
738	458	162
739	459	161
740	460	160
741	461	160
742	461	159
743	461	158
744	462	158
745	463	157
746	463	156
747	463	156
748	464	155
749	465	155
750	465	154
751	466	153
752	466	153
753	467	152
754	467	151
755	468	151
756	468	150
757	469	149
758	469	149
759	470	148
760	470	147
761	471	147
762	471	146
763	472	145
764	473	145
765	473	144
766	474	144
767	475	143
768	475	142
769	476	142
770	477	141
771	477	141
772	478	140
773	478	139
774	479	139
775	479	138
776	480	137
777	481	137
778	481	136
779	482	135
780	482	135
781	483	134
782	483	134
783	484	133
784	484	132
785	485	132
786	486	131
787	486	130
788	487	130
789	487	129
790	488	129
791	489	128
792	489	127
793	490	127
794	490	126
795	491	125
796	491	125
797	492	124
798	492	123
799	493	123
800	493	122
801	494	122
802	495	121
803	495	120
804	496	120
805	496	119
806	497	118
807	497	118
808	498	117
809	498	117
810	499	116
811	499	115
812	500	115
813	500	114
814	501	113
815	501	113
816	502	112
817	503	111
818	503	111
819	504	110
820	504	110
821	505	109
822	506	108
823	506	108
824	507	107
825	507	106
826	508	106
827	508	105
828	509	105
829	509	104
830	510	103
831	510	103
832	511	102
833	511	101
834	512	101
835	512	100
836	513	100
837	513	99
838	514	98
839	515	98
840	515	97
841	516	96
842	516	96
843	516	95
844	517	94
845	518	94
846	518	93
847	519	93
848	519	92
849	520	91
850	520	91
851	521	90
852	521	89
853	522	89
854	522	88
855	523	88
856	523	87
857	524	86
858	524	86
859	525	85
860	525	84
861	526	84
862	526	83
863	527	82
864	527	82
865	528	81
866	528	81
867	529	80
868	529	79
869	530	79
870	530	78
871	531	77
872	531	77
873	532	76
