iter	Passed	Remaining
0	0	47
1	0	46
2	1	45
3	1	40
4	2	39
5	2	38
6	2	37
7	3	36
8	3	35
9	3	35
10	4	36
11	4	35
12	5	35
13	5	34
14	6	34
15	6	34
16	7	34
17	7	34
18	8	34
19	8	34
20	9	34
21	9	34
22	10	34
23	10	34
24	11	34
25	12	34
26	12	33
27	13	33
28	13	33
29	14	33
30	14	32
31	15	32
32	15	32
33	16	31
34	17	31
35	17	31
36	18	30
37	18	30
38	19	30
39	19	29
40	21	30
41	21	29
42	21	28
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	32	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	40	11
78	41	11
79	42	10
80	42	9
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	51	1
97	51	1
98	51	0
99	52	0
